name,DOB,weight,height,birth place,one day races,GC,TT,sprint,climber,PCS rank,UCI rank,All time rank,link,lonlat
Jonas Vingegaard,1996-12-10,60.0,1.75,Hillerslev,292,1371,672,224,1232,11,10,1041,rider/jonas-vingegaard-rasmussen,"(10.3458159, 55.2075321)"
Stanisław Aniołkowski,1997-01-20,68.0,1.81,Warsaw,374,177,103,904,89,235,246,1000000,rider/stanislaw-aniolkowski,"(21.0067249, 52.2319581)"
Wout van Aert,1994-09-15,78.0,1.9,Herentals,4730,831,1736,1670,2394,2,2,146,rider/wout-van-aert,"(4.8362595, 51.1765426)"
Jake Stewart,1999-10-02,66.0,1.75,Coventry,335,284,28,258,124,232,220,1000000,rider/jake-stewart,"(-1.510477, 52.4081812)"
Nelson Andrés Soto,1994-06-19,66.0,1.78,Barranquilla,234,25,3,440,40,1018,945,1000000,rider/nelson-soto,"(-74.7988827, 10.9810761)"
Mark Cavendish,1985-05-21,70.0,1.75,Douglas,2928,1397,708,12977,1184,12,24,26,rider/mark-cavendish,"(-88.2170516, 39.7628415)"
Charles Kagimu,1998-09-15,63.0,1.8,Kampala,14,13,35,20,12,1979,1928,1000000,rider/charles-kagimu,"(32.5813539, 0.3177137)"
Manuel Rodas,1984-07-05,68.0,1.72,San Carlos Sija,123,129,932,302,136,936,652,1000000,rider/manuel-rodas,"(-91.54905, 14.983689)"
John Degenkolb,1989-01-07,82.0,1.79,Gera,5972,1116,292,6659,2070,334,337,114,rider/john-degenkolb,"(12.0796208, 50.8772301)"
Kenny De Ketele,1985-06-05,66.0,1.78,Oudenaarde,11,21,43,24,8,1000000,1000000,1000000,rider/kenny-de-ketele,"(3.6041443, 50.8433705)"
Niels Vandyck,1990-08-30,64.0,1.87,Boom,15,32,8,63,22,1629,2241,1000000,rider/niels-vandyck,"(4.3667216, 51.0873789)"
Luke Mudgway,1996-06-12,62.0,1.71,Palmerston North,43,83,49,293,15,1325,1514,1000000,rider/luke-mudgway,"(175.6112388, -40.356317)"
Yuan Tang Peng,1993-05-10,65.0,1.71,,44,0,20,123,4,1000000,1000000,1000000,rider/yuan-tang-peng,"(None, None)"
Jay Vine,1995-11-16,69.0,1.84,Townsville,25,392,28,12,360,164,231,1000000,rider/jay-vine,"(146.8239537, -19.2569391)"
Toms Skujiņš,1991-06-15,70.0,1.78,Sigulda,1289,709,199,697,960,253,261,1801,rider/toms-skujins,"(24.8567141, 57.1540561)"
Martijn Rasenberg,2001-11-09,78.0,1.92,Breda,0,1,1,0,0,1000000,1000000,1000000,rider/martijn-rasenberg,"(4.7760237, 51.5887845)"
Kevin Rivera,1998-06-28,56.0,1.65,Cartago,26,279,37,8,238,1000000,1000000,1000000,rider/kevin-rivera,"(-83.69430288751238, 9.81589045)"
Aaron Verwilst,1997-05-02,68.0,1.82,Ruiselede,76,5,2,66,6,1263,1000000,1000000,rider/aaron-verwilst,"(3.3787805823544046, 51.0630592)"
Batuhan Özgür,1998-02-01,75.0,1.68,Alanya,49,97,0,641,10,1387,1102,1000000,rider/batuhan-ozgur,"(32.0019211, 36.5436517)"
Norman Vahtra,1996-11-23,83.0,1.92,Tartu,124,172,113,504,18,415,496,1000000,rider/norman-vahtra,"(26.72245, 58.3801207)"
Markus Hoelgaard,1994-10-04,74.0,1.87,Stavanger,272,688,20,359,400,229,228,1000000,rider/markus-hoelgaard,"(5.712611357275702, 59.1020129)"
Joe Dombrowski,1991-05-12,68.0,1.85,Marshall,60,1253,224,58,1160,340,1062,1000000,rider/joe-dombrowski,"(-89.2998456, 41.0324537)"
Wesley Kreder,1990-11-04,71.0,1.83,Leiden,720,124,30,714,11,631,2951,1000000,rider/wesley-kreder,"(4.4811088666204295, 52.1518157)"
Domen Novak,1995-07-12,70.0,1.81,Dolenja vas,39,286,26,44,216,533,777,1000000,rider/domen-novak,"(14.1278939, 45.3393691)"
Mirko Celestino,1974-03-19,67.0,1.73,Albenga,5882,796,159,2128,1463,1000000,1000000,349,rider/mirko-celestino,"(8.2131239, 44.0492503)"
Daniel Tulett,1999-07-03,56.0,1.7,Farningham,8,0,16,12,0,1611,2463,1000000,rider/daniel-tulett,"(0.2356021333711487, 51.37474765)"
Samuele Battistella,1998-11-14,67.0,1.8,Castelfranco Veneto,346,278,67,145,238,137,128,1000000,rider/samuele-battistella,"(11.9252448, 45.6728109)"
Jon Barrenetxea,2000-04-20,74.0,1.88,Gámiz,8,17,0,1,8,1156,1537,1000000,rider/jon-barrenetxea-golzarri,"(-2.6197410303711752, 42.8166819)"
Romāns Vainšteins,1973-03-03,72.0,1.77,Talsi,3539,870,437,3172,546,1000000,1000000,401,rider/romans-vainsteins,"(22.5903003, 57.2451926)"
Timothy Dupont,1987-11-01,72.0,1.79,Ghent,3245,182,2,5071,71,223,253,900,rider/timothy-dupont,"(3.7250121, 51.0538286)"
Damian Papierski,2000-01-26,81.0,1.91,,2,8,56,18,0,2370,1661,1000000,rider/damian-papierski,"(None, None)"
Davide Boscaro,2000-07-13,77.0,1.82,,0,0,4,20,0,1000000,3267,1000000,rider/davide-boscaro,"(None, None)"
José Joaquín Rojas,1985-06-08,70.0,1.77,Cieza,2879,1951,129,4712,3320,542,1301,660,rider/jose-joaquin-rojas,"(-4.124873387159046, 43.2230443)"
Gabriele Benedetti,2000-06-09,63.0,1.69,Montevarchi,8,5,0,9,3,1000000,951,1000000,rider/gabriele-benedetti,"(11.5675911, 43.5234999)"
Scott Bowden,1995-04-04,65.0,1.75,Hobart,30,58,9,29,50,1000000,1000000,1000000,rider/scott-bowden,"(147.3281233, -42.8825088)"
